Table Name,State Code,District Code,Area Name,Area,Present Age,Total Women,Total Ever Married Women,Total Ever Married Women - Parity - 0,Total Ever Married Women - Parity - 1,Total Ever Married Women - Parity - 2,Total Ever Married Women - Parity - 3,Total Ever Married Women - Parity - 4,Total Ever Married Women - Parity - 5,Total Ever Married Women - Parity - 6,Total Ever Married Women - Parity - 7+,Total Children Ever Born - Persons,Total Children Ever Born - Male,Total Children Ever Born - Female
F0100,0,0,INDIA,Total,All Ages,587584719,339621277,49549956,50938514,81485683,60424480,40104260,23742379,14490504,18885501,915091154,484056967,431034187
F0100,0,0,INDIA,Total,Less than 15,178092741,1812200,1355195,136777,320228,0,0,0,0,0,777233,409134,368099
F0100,0,0,INDIA,Total,15-19,56544053,11229274,7880413,2243929,605514,215480,283938,0,0,0,5237149,2756470,2480679
F0100,0,0,INDIA,Total,20-24,53839529,37474855,12988953,12869090,8233549,2313647,621922,173729,81731,192234,41586014,21561931,20024083
F0100,0,0,INDIA,Total,25-29,50069757,45672215,7339229,10679349,15526465,7645252,2928732,904274,300426,348488,85628118,44420283,41207835
F0100,0,0,INDIA,Total,30-34,43934277,42494507,4023079,6023364,14151441,9320303,5015730,2244085,971625,744880,105395588,54734319,50661269
F0100,0,0,INDIA,Total,35-39,42221303,41450644,3016555,4570772,12304652,9516997,5807387,3118589,1673920,1441772,117975584,61659870,56315714
F0100,0,0,INDIA,Total,40-44,34892726,34387860,2344859,3329727,8936013,7923419,5206741,2997388,1761298,1888415,106474619,56237822,50236797
F0100,0,0,INDIA,Total,45-49,30180213,29817709,2008994,2760932,6816920,6769669,4760289,2847244,1729336,2124325,97576047,52039198,45536849
F0100,0,0,INDIA,Total,50-54,23225988,22939799,1669427,2020968,4556777,4966315,3857000,2414091,1489107,1966114,78514964,42219701,36295263
F0100,0,0,INDIA,Total,55-59,19690043,19470703,1462535,1647013,3288765,3847488,3368657,2295387,1480474,2080384,70654084,38082338,32571746
F0100,0,0,INDIA,Total,60-64,18961958,18655119,1650929,1596864,2652290,3222529,3170839,2371256,1617653,2372759,70271304,37713605,32557699
F0100,0,0,INDIA,Total,65-69,13510657,13238971,1269964,1096229,1631351,2016196,2167399,1772096,1289478,1996258,52047320,27892742,24154578
F0100,0,0,INDIA,Total,70-74,9557343,9407217,1034232,818312,1062571,1253207,1414007,1246132,968009,1610747,37634373,20105036,17529337
F0100,0,0,INDIA,Total,75-79,4741900,4665395,510889,400213,494527,570271,658133,614382,507206,909774,19355312,10348646,9006666
F0100,0,0,INDIA,Total,80+,6005310,5734942,736640,562378,648501,662172,722979,672639,577502,1152131,23163719,12366185,10797534
F0100,0,0,INDIA,Rural,All Ages,405967794,231577616,32236179,31209941,50881956,42277640,29885474,18442740,11504284,15139402,663799305,350248381,313550924
F0100,0,0,INDIA,Rural,Less than 15,131248972,1283307,967264,91051,224992,0,0,0,0,0,541035,284502,256533
F0100,0,0,INDIA,Rural,15-19,39331915,8604139,6007335,1760923,453369,160834,221678,0,0,0,4036875,2123490,1913385
F0100,0,0,INDIA,Rural,20-24,35696384,26974563,8810253,9299895,6228066,1813934,488243,135235,61596,137341,31242074,16180930,15061144
F0100,0,0,INDIA,Rural,25-29,32692281,30709055,4181564,6392891,10722730,5853060,2336081,736924,241169,244636,61908092,32061962,29846130
F0100,0,0,INDIA,Rural,30-34,28977587,28294613,2290910,3190428,8776569,6845642,3954381,1844850,809831,582002,75813566,39253435,36560131
F0100,0,0,INDIA,Rural,35-39,27937146,27549682,1759324,2388394,7176519,6687820,4444618,2515794,1385123,1192090,84842156,44181585,40660571
F0100,0,0,INDIA,Rural,40-44,23015773,22761435,1394285,1731105,4995523,5381395,3887038,2371413,1436341,1564335,76390722,40194412,36196310
